payroll_id,employee_id,pay_period_start,pay_period_end,gross_pay,net_pay,tax_withheld,payment_date,payment_status,domain
PAY-ECO-0001,ECO-0001,2025-09-29,2023-01-03,5659.62,4244.72,1414.91,2023-04-02,Failed,ecommerce
PAY-ECO-0002,ECO-0002,2023-08-14,2023-09-07,6651.54,4988.66,1662.89,2025-02-22,Pending,ecommerce
PAY-ECO-0003,ECO-0003,2023-11-26,2024-04-05,7293.25,5469.94,1823.31,2025-06-06,Pending,ecommerce
PAY-ECO-0004,ECO-0004,2024-12-18,2024-05-26,3334.42,2500.81,833.6,2025-10-27,Processed,ecommerce
PAY-ECO-0005,ECO-0005,2025-06-14,2025-05-09,5723.12,4292.34,1430.78,2023-01-23,Pending,ecommerce
PAY-ECO-0006,ECO-0006,2025-01-02,2024-06-27,6664.75,4998.56,1666.19,2023-05-31,Pending,ecommerce
PAY-ECO-0007,ECO-0007,2023-11-07,2025-11-03,3201.54,2401.16,800.39,2025-10-31,Failed,ecommerce
PAY-ECO-0008,ECO-0008,2024-01-15,2023-02-17,2217.33,1663.0,554.33,2023-10-26,Failed,ecommerce
PAY-ECO-0009,ECO-0009,2025-04-02,2024-07-26,7428.33,5571.25,1857.08,2023-07-03,Processed,ecommerce
PAY-ECO-0010,ECO-0010,2024-07-24,2025-03-09,7244.21,5433.16,1811.05,2024-12-10,Pending,ecommerce
PAY-ECO-0011,ECO-0011,2025-08-11,2023-03-23,7110.79,5333.09,1777.7,2024-07-12,Processed,ecommerce
PAY-ECO-0012,ECO-0012,2024-07-30,2023-12-14,6616.54,4962.41,1654.14,2024-03-05,Processed,ecommerce
PAY-ECO-0013,ECO-0013,2024-12-03,2025-06-05,7870.17,5902.62,1967.54,2025-02-22,Failed,ecommerce
PAY-ECO-0014,ECO-0014,2024-12-11,2023-12-17,6980.92,5235.69,1745.23,2025-02-07,Processed,ecommerce
PAY-ECO-0015,ECO-0015,2024-03-04,2024-07-08,7411.79,5558.84,1852.95,2024-04-04,Pending,ecommerce
PAY-ECO-0016,ECO-0016,2025-11-13,2023-10-01,8307.96,6230.97,2076.99,2025-01-15,Pending,ecommerce
PAY-ECO-0017,ECO-0017,2024-03-15,2025-01-02,2517.08,1887.81,629.27,2024-05-26,Processed,ecommerce
PAY-ECO-0018,ECO-0018,2023-09-30,2023-12-19,8160.96,6120.72,2040.24,2025-08-14,Failed,ecommerce
PAY-ECO-0019,ECO-0019,2024-12-07,2023-08-19,7125.75,5344.31,1781.44,2025-08-31,Failed,ecommerce
PAY-ECO-0020,ECO-0020,2023-07-10,2025-08-09,5251.04,3938.28,1312.76,2025-09-15,Processed,ecommerce
PAY-ECO-0021,ECO-0021,2023-08-02,2024-05-18,2687.17,2015.38,671.79,2024-01-03,Failed,ecommerce
PAY-ECO-0022,ECO-0022,2024-11-27,2023-01-01,4252.79,3189.59,1063.2,2025-08-12,Failed,ecommerce
PAY-ECO-0023,ECO-0023,2023-09-21,2025-04-04,2706.0,2029.5,676.5,2024-05-03,Failed,ecommerce
PAY-ECO-0024,ECO-0024,2023-10-02,2024-04-19,3038.38,2278.78,759.59,2023-02-07,Processed,ecommerce
PAY-ECO-0025,ECO-0025,2023-10-08,2025-01-22,6995.79,5246.84,1748.95,2024-01-16,Failed,ecommerce
PAY-ECO-0026,ECO-0026,2024-11-07,2024-12-23,7827.83,5870.88,1956.96,2024-05-10,Processed,ecommerce
PAY-ECO-0027,ECO-0027,2024-06-13,2024-11-29,3225.54,2419.16,806.39,2024-11-03,Processed,ecommerce
PAY-ECO-0028,ECO-0028,2023-05-09,2024-05-07,7373.17,5529.88,1843.29,2023-09-11,Failed,ecommerce
PAY-ECO-0029,ECO-0029,2023-02-07,2025-02-24,7060.12,5295.09,1765.03,2024-09-19,Processed,ecommerce
PAY-ECO-0030,ECO-0030,2024-01-15,2025-11-20,6969.54,5227.16,1742.39,2023-06-22,Pending,ecommerce
PAY-ECO-0031,ECO-0031,2024-05-12,2025-11-17,6715.75,5036.81,1678.94,2025-06-17,Failed,ecommerce
PAY-ECO-0032,ECO-0032,2024-12-27,2023-03-31,3255.12,2441.34,813.78,2023-05-26,Failed,ecommerce
PAY-ECO-0033,ECO-0033,2025-02-28,2023-01-08,4355.08,3266.31,1088.77,2025-05-16,Pending,ecommerce
PAY-ECO-0034,ECO-0034,2025-09-10,2023-05-06,3391.42,2543.56,847.85,2025-10-03,Processed,ecommerce
PAY-ECO-0035,ECO-0035,2024-09-24,2025-06-26,2546.67,1910.0,636.67,2024-08-10,Processed,ecommerce
PAY-ECO-0036,ECO-0036,2024-07-25,2023-10-03,5185.17,3888.88,1296.29,2025-07-06,Failed,ecommerce
PAY-ECO-0037,ECO-0037,2023-12-30,2023-09-25,2351.88,1763.91,587.97,2023-03-26,Processed,ecommerce
PAY-ECO-0038,ECO-0038,2025-08-11,2024-10-01,4197.25,3147.94,1049.31,2025-07-01,Pending,ecommerce
PAY-ECO-0039,ECO-0039,2023-03-15,2024-09-11,7489.04,5616.78,1872.26,2025-09-02,Pending,ecommerce
PAY-ECO-0040,ECO-0040,2025-01-22,2024-03-03,3450.46,2587.84,862.61,2023-07-12,Failed,ecommerce
PAY-ECO-0041,ECO-0041,2025-07-08,2025-11-22,8254.38,6190.78,2063.59,2023-09-24,Processed,ecommerce
PAY-ECO-0042,ECO-0042,2023-01-21,2025-01-13,3600.42,2700.31,900.1,2025-12-12,Failed,ecommerce
PAY-ECO-0043,ECO-0043,2023-10-01,2025-04-09,5295.29,3971.47,1323.82,2024-01-27,Processed,ecommerce
PAY-ECO-0044,ECO-0044,2024-02-10,2025-09-05,6056.58,4542.44,1514.15,2024-04-21,Processed,ecommerce
PAY-ECO-0045,ECO-0045,2023-09-08,2024-11-16,5041.38,3781.03,1260.34,2023-02-01,Pending,ecommerce
PAY-ECO-0046,ECO-0046,2024-05-02,2025-04-26,3147.71,2360.78,786.93,2023-10-12,Processed,ecommerce
PAY-ECO-0047,ECO-0047,2025-01-30,2023-07-22,6426.71,4820.03,1606.68,2023-07-19,Processed,ecommerce
PAY-ECO-0048,ECO-0048,2025-08-07,2025-07-06,5772.42,4329.31,1443.1,2025-10-23,Processed,ecommerce
PAY-ECO-0049,ECO-0049,2025-09-12,2024-11-27,6174.46,4630.84,1543.61,2023-11-22,Failed,ecommerce
PAY-ECO-0050,ECO-0050,2025-11-21,2024-08-21,7510.75,5633.06,1877.69,2025-05-29,Pending,ecommerce
