payroll_id,employee_id,pay_period_start,pay_period_end,gross_pay,net_pay,tax_withheld,payment_date,payment_status,domain
PAY-FIN-0001,FIN-0001,2024-11-12,2024-01-07,3375.29,2531.47,843.82,2024-07-07,Pending,fintech
PAY-FIN-0002,FIN-0002,2025-04-07,2023-04-22,7094.92,5321.19,1773.73,2024-07-21,Pending,fintech
PAY-FIN-0003,FIN-0003,2023-09-16,2025-08-31,5301.96,3976.47,1325.49,2024-12-14,Processed,fintech
PAY-FIN-0004,FIN-0004,2023-07-20,2023-04-17,7485.75,5614.31,1871.44,2024-12-27,Failed,fintech
PAY-FIN-0005,FIN-0005,2023-07-07,2023-02-18,3286.88,2465.16,821.72,2024-04-06,Processed,fintech
PAY-FIN-0006,FIN-0006,2024-12-29,2023-07-11,8093.58,6070.19,2023.4,2024-09-29,Failed,fintech
PAY-FIN-0007,FIN-0007,2025-01-14,2024-05-17,6785.17,5088.88,1696.29,2025-03-23,Processed,fintech
PAY-FIN-0008,FIN-0008,2023-12-23,2024-12-25,6927.71,5195.78,1731.93,2023-09-25,Pending,fintech
PAY-FIN-0009,FIN-0009,2024-11-01,2024-06-17,3136.5,2352.38,784.12,2024-11-06,Processed,fintech
PAY-FIN-0010,FIN-0010,2025-04-14,2024-02-16,5064.08,3798.06,1266.02,2024-04-24,Failed,fintech
PAY-FIN-0011,FIN-0011,2024-02-07,2025-01-06,6061.79,4546.34,1515.45,2024-05-13,Pending,fintech
PAY-FIN-0012,FIN-0012,2023-09-19,2025-08-26,3718.62,2788.97,929.66,2025-11-12,Failed,fintech
PAY-FIN-0013,FIN-0013,2024-07-24,2025-05-11,3735.75,2801.81,933.94,2025-05-01,Processed,fintech
PAY-FIN-0014,FIN-0014,2023-08-05,2023-10-06,2557.5,1918.12,639.38,2025-09-12,Pending,fintech
PAY-FIN-0015,FIN-0015,2024-08-02,2023-11-26,6394.58,4795.94,1598.65,2025-04-19,Failed,fintech
PAY-FIN-0016,FIN-0016,2023-09-11,2024-01-30,8245.42,6184.06,2061.35,2023-09-28,Processed,fintech
PAY-FIN-0017,FIN-0017,2025-05-29,2023-06-15,4083.92,3062.94,1020.98,2024-07-03,Pending,fintech
PAY-FIN-0018,FIN-0018,2024-08-17,2023-03-22,6394.17,4795.62,1598.54,2023-06-14,Pending,fintech
PAY-FIN-0019,FIN-0019,2025-07-14,2023-04-06,2347.12,1760.34,586.78,2023-11-05,Failed,fintech
PAY-FIN-0020,FIN-0020,2025-03-09,2025-06-08,5323.67,3992.75,1330.92,2025-10-22,Processed,fintech
PAY-FIN-0021,FIN-0021,2025-11-16,2025-02-15,4373.25,3279.94,1093.31,2024-05-01,Failed,fintech
PAY-FIN-0022,FIN-0022,2024-01-31,2025-04-19,8099.12,6074.34,2024.78,2024-03-16,Processed,fintech
PAY-FIN-0023,FIN-0023,2025-12-19,2025-07-12,3369.38,2527.03,842.34,2024-11-29,Pending,fintech
PAY-FIN-0024,FIN-0024,2025-08-03,2023-12-10,5279.17,3959.38,1319.79,2023-12-22,Pending,fintech
PAY-FIN-0025,FIN-0025,2024-08-19,2024-03-23,3034.17,2275.62,758.54,2025-02-06,Failed,fintech
PAY-FIN-0026,FIN-0026,2023-09-12,2023-08-30,4725.96,3544.47,1181.49,2024-02-03,Failed,fintech
PAY-FIN-0027,FIN-0027,2023-01-29,2025-10-21,8188.5,6141.38,2047.12,2023-03-25,Pending,fintech
PAY-FIN-0028,FIN-0028,2023-01-02,2025-02-11,7638.5,5728.88,1909.62,2025-04-01,Pending,fintech
PAY-FIN-0029,FIN-0029,2023-01-17,2025-08-21,8167.17,6125.38,2041.79,2024-08-01,Pending,fintech
PAY-FIN-0030,FIN-0030,2025-05-01,2025-12-07,5373.75,4030.31,1343.44,2023-09-20,Failed,fintech
PAY-FIN-0031,FIN-0031,2023-12-07,2023-02-14,3660.67,2745.5,915.17,2025-03-08,Processed,fintech
PAY-FIN-0032,FIN-0032,2023-01-22,2024-10-22,7583.21,5687.41,1895.8,2023-09-25,Failed,fintech
PAY-FIN-0033,FIN-0033,2023-01-06,2023-02-13,7586.88,5690.16,1896.72,2024-12-20,Failed,fintech
PAY-FIN-0034,FIN-0034,2024-03-17,2025-06-13,2814.21,2110.66,703.55,2024-10-26,Failed,fintech
PAY-FIN-0035,FIN-0035,2023-12-21,2023-05-27,4487.58,3365.69,1121.9,2023-01-19,Processed,fintech
PAY-FIN-0036,FIN-0036,2024-11-22,2025-02-22,3273.75,2455.31,818.44,2023-09-28,Failed,fintech
PAY-FIN-0037,FIN-0037,2024-06-09,2023-09-26,7383.21,5537.41,1845.8,2024-07-01,Pending,fintech
PAY-FIN-0038,FIN-0038,2023-12-27,2024-06-16,8096.79,6072.59,2024.2,2023-02-06,Processed,fintech
PAY-FIN-0039,FIN-0039,2025-08-26,2023-12-16,7836.33,5877.25,1959.08,2025-01-05,Pending,fintech
PAY-FIN-0040,FIN-0040,2025-12-02,2024-10-09,6852.38,5139.28,1713.09,2025-12-15,Processed,fintech
PAY-FIN-0041,FIN-0041,2025-12-20,2024-03-30,6784.04,5088.03,1696.01,2023-02-05,Pending,fintech
PAY-FIN-0042,FIN-0042,2025-10-09,2024-12-18,6319.5,4739.62,1579.88,2023-12-29,Processed,fintech
PAY-FIN-0043,FIN-0043,2025-01-26,2024-10-23,2147.71,1610.78,536.93,2024-12-29,Pending,fintech
PAY-FIN-0044,FIN-0044,2024-01-15,2023-10-14,7110.58,5332.94,1777.65,2024-10-18,Failed,fintech
PAY-FIN-0045,FIN-0045,2023-10-30,2025-12-21,2928.04,2196.03,732.01,2023-05-06,Failed,fintech
PAY-FIN-0046,FIN-0046,2023-01-21,2024-08-12,7924.62,5943.47,1981.16,2025-09-26,Processed,fintech
PAY-FIN-0047,FIN-0047,2023-10-19,2025-07-27,5332.21,3999.16,1333.05,2024-08-11,Pending,fintech
PAY-FIN-0048,FIN-0048,2024-02-29,2024-08-21,3972.46,2979.34,993.11,2025-10-19,Failed,fintech
PAY-FIN-0049,FIN-0049,2024-05-20,2024-09-24,2632.38,1974.28,658.09,2025-01-06,Failed,fintech
PAY-FIN-0050,FIN-0050,2023-04-30,2023-01-19,7630.62,5722.97,1907.66,2025-11-07,Pending,fintech
