payroll_id,employee_id,pay_period_start,pay_period_end,gross_pay,net_pay,tax_withheld,payment_date,payment_status,domain
PAY-HEA-0001,HEA-0001,2025-09-06,2025-10-24,3305.21,2478.91,826.3,2024-03-30,Processed,healthcare
PAY-HEA-0002,HEA-0002,2024-04-22,2024-03-06,4162.38,3121.78,1040.59,2025-10-18,Processed,healthcare
PAY-HEA-0003,HEA-0003,2025-10-31,2023-01-27,5167.5,3875.62,1291.88,2025-04-16,Pending,healthcare
PAY-HEA-0004,HEA-0004,2025-08-24,2024-01-13,4601.88,3451.41,1150.47,2024-01-18,Processed,healthcare
PAY-HEA-0005,HEA-0005,2024-03-20,2024-10-06,3158.62,2368.97,789.66,2025-01-05,Processed,healthcare
PAY-HEA-0006,HEA-0006,2025-07-11,2024-06-27,3678.17,2758.62,919.54,2023-09-25,Pending,healthcare
PAY-HEA-0007,HEA-0007,2023-02-06,2024-03-23,4674.12,3505.59,1168.53,2025-11-29,Processed,healthcare
PAY-HEA-0008,HEA-0008,2025-11-29,2025-02-26,3765.96,2824.47,941.49,2025-08-20,Failed,healthcare
PAY-HEA-0009,HEA-0009,2024-01-30,2024-11-01,2498.96,1874.22,624.74,2025-03-30,Processed,healthcare
PAY-HEA-0010,HEA-0010,2023-02-15,2023-03-06,7108.83,5331.62,1777.21,2025-01-20,Processed,healthcare
PAY-HEA-0011,HEA-0011,2024-06-26,2024-06-18,6755.83,5066.88,1688.96,2023-12-16,Pending,healthcare
PAY-HEA-0012,HEA-0012,2025-06-22,2024-05-19,6105.25,4578.94,1526.31,2023-08-19,Failed,healthcare
PAY-HEA-0013,HEA-0013,2024-06-15,2024-12-28,7522.08,5641.56,1880.52,2024-10-19,Processed,healthcare
PAY-HEA-0014,HEA-0014,2023-07-28,2024-02-02,5575.29,4181.47,1393.82,2025-04-20,Failed,healthcare
PAY-HEA-0015,HEA-0015,2024-02-18,2024-02-11,4146.17,3109.62,1036.54,2024-08-31,Failed,healthcare
PAY-HEA-0016,HEA-0016,2025-10-02,2025-06-28,5279.79,3959.84,1319.95,2025-06-17,Pending,healthcare
PAY-HEA-0017,HEA-0017,2023-03-04,2023-11-13,6299.58,4724.69,1574.9,2023-01-05,Pending,healthcare
